NAME,GEOID,PAR
Grand Forks,38035,27.43929991
Stutsman,38093,21.83253436
Sioux,38085,17.70825329
Morton,38059,18.22131687
Burleigh,38015,19.2470817
Oliver,38065,18.41267964
Ward,38101,19.79528493
McHenry,38049,20.97010546
Renville,38075,19.91587449
Williams,38105,16.88714254
Stark,38089,16.60237045
Cass,38017,25.6153496
Richland,38077,24.94292272
Pembina,38067,28.09654304
Walsh,38099,27.90688944
Cavalier,38019,26.41530434
Towner,38095,24.55348376
Ramsey,38071,25.60106615
Nelson,38063,26.13286375
Benson,38005,23.58702777
Eddy,38027,23.56352317
Griggs,38039,24.21641867
Steele,38091,25.4264492
Foster,38031,22.97427773
Barnes,38003,23.72342348
Traill,38097,26.61428075
Sargent,38081,22.9567317
Dickey,38021,21.47861027
LaMoure,38045,21.71798163
Ransom,38073,23.53450222
Logan,38047,20.03602566
Kidder,38043,20.62175631
McIntosh,38051,20.04786763
Grant,38037,17.51336048
Emmons,38029,19.37407992
McLean,38055,19.25216353
Mercer,38057,18.39738203
Mountrail,38061,18.28308244
Sheridan,38083,20.78623974
Wells,38103,21.80904894
Pierce,38069,22.30059063
Rolette,38079,23.35877947
Bottineau,38009,20.8261455
Burke,38013,19.06423119
Divide,38023,17.41664041
McKenzie,38053,16.66452227
Billings,38007,15.3511424
Golden Valley,38033,14.07242387
Slope,38087,14.90944601
Dunn,38025,16.75382179
Hettinger,38041,16.57029452
Adams,38001,15.61071612
Bowman,38011,14.5068953
