NAME,GEOID,PA
Grand Forks,38035,2.29515726
Stutsman,38093,2.870217431
Sioux,38085,2.547371738
Morton,38059,2.434831526
Burleigh,38015,2.498244262
Oliver,38065,2.080583707
Ward,38101,2.013801362
McHenry,38049,1.917840068
Renville,38075,2.050364321
Williams,38105,2.149983591
Stark,38089,2.30516748
Cass,38017,2.671094778
Richland,38077,2.858933826
Pembina,38067,1.976239933
Walsh,38099,2.060223677
Cavalier,38019,2.201813167
Towner,38095,2.569355982
Ramsey,38071,2.324354021
Nelson,38063,2.190124292
Benson,38005,2.261581795
Eddy,38027,2.150509505
Griggs,38039,2.413975545
Steele,38091,2.400945881
Foster,38031,1.957800978
Barnes,38003,2.804323527
Traill,38097,2.245425154
Sargent,38081,2.714784948
Dickey,38021,2.901739325
LaMoure,38045,2.953616873
Ransom,38073,2.671096942
Logan,38047,3.16656432
Kidder,38043,2.854237057
McIntosh,38051,2.758809916
Grant,38037,2.380231356
Emmons,38029,2.702333321
McLean,38055,2.235631888
Mercer,38057,2.131383203
Mountrail,38061,2.168795514
Sheridan,38083,2.394870149
Wells,38103,2.108825758
Pierce,38069,2.329363287
Rolette,38079,2.545916174
Bottineau,38009,1.972398989
Burke,38013,2.493382334
Divide,38023,1.903692139
McKenzie,38053,2.137409193
Billings,38007,2.432415475
Golden Valley,38033,1.465664867
Slope,38087,2.148872524
Dunn,38025,2.20911068
Hettinger,38041,1.883008115
Adams,38001,2.047141153
Bowman,38011,1.968455722
