NAME,GEOID,ET
Grand Forks,38035,179.0085084
Stutsman,38093,187.4936623
Sioux,38085,162.3217855
Morton,38059,160.5004607
Burleigh,38015,171.9036013
Oliver,38065,154.9053469
Ward,38101,156.8396725
McHenry,38049,152.2962572
Renville,38075,160.7565606
Williams,38105,145.6668563
Stark,38089,145.920167
Cass,38017,194.0424267
Richland,38077,199.2067075
Pembina,38067,172.6070992
Walsh,38099,167.5914421
Cavalier,38019,167.3585058
Towner,38095,162.2084782
Ramsey,38071,154.3693319
Nelson,38063,163.6636904
Benson,38005,162.5822195
Eddy,38027,172.2547892
Griggs,38039,181.2375586
Steele,38091,187.8603322
Foster,38031,173.6892667
Barnes,38003,190.0055927
Traill,38097,188.4130012
Sargent,38081,197.922573
Dickey,38021,193.2971807
LaMoure,38045,199.5378611
Ransom,38073,197.0214065
Logan,38047,175.7440572
Kidder,38043,174.9047752
McIntosh,38051,180.3157307
Grant,38037,145.7310549
Emmons,38029,171.6123802
McLean,38055,160.0952178
Mercer,38057,150.139676
Mountrail,38061,154.9283698
Sheridan,38083,164.8808512
Wells,38103,171.2847679
Pierce,38069,154.5055258
Rolette,38079,164.9800762
Bottineau,38009,157.9953448
Burke,38013,154.69682
Divide,38023,132.87932
McKenzie,38053,132.9601142
Billings,38007,137.4670217
Golden Valley,38033,119.8143268
Slope,38087,146.5421904
Dunn,38025,143.7892861
Hettinger,38041,142.4718191
Adams,38001,136.640923
Bowman,38011,143.7159178
