NAME,GEOID,LST_NIGHT
Grand Forks,38035,14290.80247
Stutsman,38093,14316.54991
Sioux,38085,14313.09382
Morton,38059,14272.01222
Burleigh,38015,14270.48738
Oliver,38065,14251.14546
Ward,38101,14266.23143
McHenry,38049,14260.75963
Renville,38075,14222.46964
Williams,38105,14251.88351
Stark,38089,14265.82058
Cass,38017,14332.28072
Richland,38077,14382.33792
Pembina,38067,14261.22774
Walsh,38099,14263.63444
Cavalier,38019,14204.14634
Towner,38095,14216.11706
Ramsey,38071,14264.03411
Nelson,38063,14278.53569
Benson,38005,14259.9256
Eddy,38027,14252.21458
Griggs,38039,14290.37248
Steele,38091,14296.82751
Foster,38031,14283.76815
Barnes,38003,14333.73623
Traill,38097,14310.4263
Sargent,38081,14383.07296
Dickey,38021,14369.5887
LaMoure,38045,14352.27998
Ransom,38073,14356.57373
Logan,38047,14332.57925
Kidder,38043,14305.24667
McIntosh,38051,14340.94387
Grant,38037,14289.77036
Emmons,38029,14325.24114
McLean,38055,14268.85578
Mercer,38057,14287.72534
Mountrail,38061,14227.01201
Sheridan,38083,14294.25476
Wells,38103,14277.99256
Pierce,38069,14260.33778
Rolette,38079,14194.00173
Bottineau,38009,14207.45335
Burke,38013,14209.28881
Divide,38023,14242.60068
McKenzie,38053,14283.73562
Billings,38007,14252.13972
Golden Valley,38033,14255.7694
Slope,38087,14245.60688
Dunn,38025,14246.32964
Hettinger,38041,14260.21605
Adams,38001,14277.98722
Bowman,38011,14266.62092
