NAME,GEOID,SMS_AM
Grand Forks,38035,0.191990479
Stutsman,38093,0.247013245
Sioux,38085,0.152482493
Morton,38059,0.167682872
Burleigh,38015,0.204456314
Oliver,38065,0.17655961
Ward,38101,0.18848801
McHenry,38049,0.180978352
Renville,38075,0.172070938
Williams,38105,0.155352544
Stark,38089,0.147495804
Cass,38017,0.19572597
Richland,38077,0.212180682
Pembina,38067,0.16868426
Walsh,38099,0.180888068
Cavalier,38019,0.18187275
Towner,38095,0.216058744
Ramsey,38071,0.258904775
Nelson,38063,0.230676863
Benson,38005,0.252107494
Eddy,38027,0.214614273
Griggs,38039,0.223884489
Steele,38091,0.198445573
Foster,38031,0.209824435
Barnes,38003,0.232310164
Traill,38097,0.187781678
Sargent,38081,0.228480281
Dickey,38021,0.223021751
LaMoure,38045,0.23337459
Ransom,38073,0.21250335
Logan,38047,0.247387125
Kidder,38043,0.250621587
McIntosh,38051,0.238270492
Grant,38037,0.148672342
Emmons,38029,0.178840063
McLean,38055,0.190684418
Mercer,38057,0.162214078
Mountrail,38061,0.191246464
Sheridan,38083,0.224565944
Wells,38103,0.204731515
Pierce,38069,0.224615698
Rolette,38079,0.222892889
Bottineau,38009,0.169219136
Burke,38013,0.191879589
Divide,38023,0.180200964
McKenzie,38053,0.151328749
Billings,38007,0.145424386
Golden Valley,38033,0.129915982
Slope,38087,0.145047418
Dunn,38025,0.154371901
Hettinger,38041,0.138198244
Adams,38001,0.132184677
Bowman,38011,0.138860471
