NAME,GEOID,NDVI
Grand Forks,38035,6061.657457786504
Stutsman,38093,6431.221536586481
Sioux,38085,5889.838286520164
Morton,38059,5762.65805636578
Burleigh,38015,6068.154636002402
Oliver,38065,5653.536273261875
Ward,38101,5600.855575504585
McHenry,38049,5683.654120816804
Renville,38075,5679.559820538308
Williams,38105,5301.034199710566
Stark,38089,5253.339443059319
Cass,38017,6543.139352767371
Richland,38077,6751.6316836719525
Pembina,38067,5893.5803425403055
Walsh,38099,5767.351777037523
Cavalier,38019,5746.305229232976
Towner,38095,5765.9911366994575
Ramsey,38071,5576.0202113906735
Nelson,38063,5808.756468120545
Benson,38005,5839.3277350995295
Eddy,38027,5924.29202649242
Griggs,38039,6141.666541848985
Steele,38091,6095.657951115989
Foster,38031,5841.361780999007
Barnes,38003,6275.879365868104
Traill,38097,6410.184871718807
Sargent,38081,6690.501644238711
Dickey,38021,6430.7241497931445
LaMoure,38045,6574.355289263324
Ransom,38073,6513.659142420793
Logan,38047,6239.0115603624545
Kidder,38043,6187.315671959418
McIntosh,38051,6292.211639728004
Grant,38037,5259.422209170301
Emmons,38029,5991.756447715513
McLean,38055,5771.580463743589
Mercer,38057,5600.092412790236
Mountrail,38061,5583.669819707812
Sheridan,38083,5840.7133416524575
Wells,38103,5880.087103802487
Pierce,38069,5743.664141880275
Rolette,38079,5880.959582532252
Bottineau,38009,5624.243499007727
Burke,38013,5549.238971339995
Divide,38023,5001.662177923904
McKenzie,38053,5129.632706713126
Billings,38007,5732.480754857997
Golden Valley,38033,4782.97344029184
Slope,38087,5195.333139512681
Dunn,38025,5393.998332274091
Hettinger,38041,5092.973203093187
Adams,38001,5039.2384248684475
Bowman,38011,5134.326450391477
