NAME,GEOID,LST_DAY
Grand Forks,38035,15111.15069
Stutsman,38093,15055.66963
Sioux,38085,15271.57471
Morton,38059,15242.27849
Burleigh,38015,15162.48674
Oliver,38065,15264.41671
Ward,38101,15172.59717
McHenry,38049,15208.82969
Renville,38075,15130.22714
Williams,38105,15168.17796
Stark,38089,15269.16021
Cass,38017,15158.04251
Richland,38077,15107.44728
Pembina,38067,15150.76571
Walsh,38099,15152.23305
Cavalier,38019,15057.69387
Towner,38095,15065.45007
Ramsey,38071,15059.78053
Nelson,38063,15058.13889
Benson,38005,15097.24145
Eddy,38027,15140.94046
Griggs,38039,15059.75127
Steele,38091,15079.07432
Foster,38031,15125.3553
Barnes,38003,15048.87915
Traill,38097,15148.04732
Sargent,38081,15089.39753
Dickey,38021,15120.71698
LaMoure,38045,15071.99416
Ransom,38073,15135.95731
Logan,38047,15091.53561
Kidder,38043,15083.33971
McIntosh,38051,15105.9488
Grant,38037,15281.92677
Emmons,38029,15199.22962
McLean,38055,15165.22079
Mercer,38057,15235.83523
Mountrail,38061,15139.89469
Sheridan,38083,15130.53728
Wells,38103,15133.24245
Pierce,38069,15096.70973
Rolette,38079,15065.19096
Bottineau,38009,15174.97767
Burke,38013,15102.96114
Divide,38023,15174.26408
McKenzie,38053,15213.25308
Billings,38007,15282.79267
Golden Valley,38033,15304.75855
Slope,38087,15210.0501
Dunn,38025,15282.17509
Hettinger,38041,15275.64725
Adams,38001,15305.36289
Bowman,38011,15246.75989
