NAME,GEOID,SAR
Grand Forks,38035,-11.42186084
Stutsman,38093,-11.55200308
Sioux,38085,-11.85796319
Morton,38059,-12.18883424
Burleigh,38015,-12.30293404
Oliver,38065,-12.43099973
Ward,38101,-12.31845696
McHenry,38049,-12.78042019
Renville,38075,-11.90539969
Williams,38105,-11.90144178
Stark,38089,-12.69832452
Cass,38017,-11.22314631
Richland,38077,-10.89494792
Pembina,38067,-11.61773129
Walsh,38099,-11.76101741
Cavalier,38019,-11.92202708
Towner,38095,-11.78924808
Ramsey,38071,-12.28764122
Nelson,38063,-11.95614331
Benson,38005,-12.18878461
Eddy,38027,-12.39791037
Griggs,38039,-11.43964674
Steele,38091,-11.32446079
Foster,38031,-12.27969751
Barnes,38003,-11.20896624
Traill,38097,-11.18378856
Sargent,38081,-11.13002766
Dickey,38021,-11.62959168
LaMoure,38045,-11.31013636
Ransom,38073,-11.42360579
Logan,38047,-12.18689534
Kidder,38043,-12.4997814
McIntosh,38051,-12.07581207
Grant,38037,-12.61364309
Emmons,38029,-12.28173245
McLean,38055,-12.25709829
Mercer,38057,-12.42497203
Mountrail,38061,-12.03380645
Sheridan,38083,-12.72753802
Wells,38103,-12.26189402
Pierce,38069,-12.53027504
Rolette,38079,-11.72455635
Bottineau,38009,-12.40106796
Burke,38013,-12.24680699
Divide,38023,-12.54706963
McKenzie,38053,-12.48250276
Billings,38007,-11.67178504
Golden Valley,38033,-13.56593431
Slope,38087,-11.15697651
Dunn,38025,-12.85453364
Hettinger,38041,-12.68711753
Adams,38001,-12.79265522
Bowman,38011,-11.73606576
