NAME,GEOID,LST_DAY
Grand Forks,38035,15124.50347
Stutsman,38093,15039.26115
Sioux,38085,15152.87417
Morton,38059,15116.10951
Burleigh,38015,15065.69664
Oliver,38065,15100.89732
Ward,38101,15102.52995
McHenry,38049,15121.36993
Renville,38075,15123.80229
Williams,38105,15153.16453
Stark,38089,15141.38336
Cass,38017,15142.45624
Richland,38077,15132.86731
Pembina,38067,15113.73934
Walsh,38099,15130.03193
Cavalier,38019,15110.04305
Towner,38095,15125.23002
Ramsey,38071,15073.58833
Nelson,38063,15039.09344
Benson,38005,15094.88167
Eddy,38027,15049.45118
Griggs,38039,15061.30722
Steele,38091,15081.37957
Foster,38031,15024.23281
Barnes,38003,15054.35336
Traill,38097,15144.74309
Sargent,38081,15100.38843
Dickey,38021,15079.6647
LaMoure,38045,15062.9
Ransom,38073,15084.35
Logan,38047,15065.44383
Kidder,38043,15035.88338
McIntosh,38051,15064.57664
Grant,38037,15146.05202
Emmons,38029,15117.04243
McLean,38055,15097.42301
Mercer,38057,15134.9716
Mountrail,38061,15138.99594
Sheridan,38083,15064.04299
Wells,38103,15059.1174
Pierce,38069,15109.946
Rolette,38079,15108.72754
Bottineau,38009,15140.93008
Burke,38013,15114.94572
Divide,38023,15139.18747
McKenzie,38053,15195.49194
Billings,38007,15182.22647
Golden Valley,38033,15186.69243
Slope,38087,15117.69632
Dunn,38025,15206.59049
Hettinger,38041,15135.80339
Adams,38001,15155.97759
Bowman,38011,15173.09067
