NAME,GEOID,ET
Grand Forks,38035,182.4113083
Stutsman,38093,187.2841896
Sioux,38085,175.6177615
Morton,38059,186.8285952
Burleigh,38015,191.349693
Oliver,38065,191.4021331
Ward,38101,172.5196673
McHenry,38049,172.2957017
Renville,38075,166.2466774
Williams,38105,146.3838016
Stark,38089,168.0896191
Cass,38017,187.3708128
Richland,38077,198.5769728
Pembina,38067,184.7456829
Walsh,38099,182.5182997
Cavalier,38019,171.6637341
Towner,38095,163.3887885
Ramsey,38071,159.1465766
Nelson,38063,168.3197502
Benson,38005,168.7128968
Eddy,38027,185.4478701
Griggs,38039,179.7601677
Steele,38091,184.798414
Foster,38031,183.4127727
Barnes,38003,188.9879231
Traill,38097,187.7602979
Sargent,38081,199.2721159
Dickey,38021,198.1019463
LaMoure,38045,200.0601652
Ransom,38073,198.3657193
Logan,38047,182.9546301
Kidder,38043,182.148616
McIntosh,38051,185.6487176
Grant,38037,170.1829933
Emmons,38029,189.2565175
McLean,38055,177.020285
Mercer,38057,173.3483895
Mountrail,38061,157.7052685
Sheridan,38083,174.3043556
Wells,38103,182.8318511
Pierce,38069,156.2291359
Rolette,38079,164.5578726
Bottineau,38009,168.7599615
Burke,38013,149.1460285
Divide,38023,138.8354496
McKenzie,38053,142.6245656
Billings,38007,143.3859903
Golden Valley,38033,153.1742804
Slope,38087,175.068173
Dunn,38025,144.9765679
Hettinger,38041,177.7306473
Adams,38001,157.0893474
Bowman,38011,164.5916516
