NAME,GEOID,NDVI
Grand Forks,38035,6172.653045192306
Stutsman,38093,6360.265234064725
Sioux,38085,6101.686034151007
Morton,38059,6228.505601299436
Burleigh,38015,6294.547006075253
Oliver,38065,6257.418699828747
Ward,38101,5993.754074132934
McHenry,38049,5953.029717270949
Renville,38075,5809.6729305474755
Williams,38105,5383.313427996277
Stark,38089,5877.949670923335
Cass,38017,6254.609307406376
Richland,38077,6413.167781865439
Pembina,38067,6107.115644116537
Walsh,38099,5942.177059241828
Cavalier,38019,5481.6477810823935
Towner,38095,5518.317425264915
Ramsey,38071,5436.955377054485
Nelson,38063,5858.165879020968
Benson,38005,5856.863092798243
Eddy,38027,6272.85081862862
Griggs,38039,6200.807144169053
Steele,38091,6237.709943394832
Foster,38031,6318.66993206794
Barnes,38003,6385.903344038543
Traill,38097,6182.2849656537965
Sargent,38081,6529.988726239039
Dickey,38021,6429.943171467154
LaMoure,38045,6518.31414618065
Ransom,38073,6599.571525642007
Logan,38047,6120.1510317365955
Kidder,38043,6275.826153790327
McIntosh,38051,6257.88125501397
Grant,38037,5962.171990361036
Emmons,38029,6139.32924485205
McLean,38055,6059.628599430471
Mercer,38057,5965.405291616996
Mountrail,38061,5613.050291912496
Sheridan,38083,5963.950356356982
Wells,38103,6186.0361195341575
Pierce,38069,5648.914431642949
Rolette,38079,5725.460950807189
Bottineau,38009,5891.881654280902
Burke,38013,5608.465515080298
Divide,38023,5209.298731664698
McKenzie,38053,5216.030469551953
Billings,38007,5387.283816425121
Golden Valley,38033,5302.354969421109
Slope,38087,5840.322926384266
Dunn,38025,5526.427233435477
Hettinger,38041,5915.686617330791
Adams,38001,5724.466646830141
Bowman,38011,5798.770117170673
