NAME,GEOID,SMS_AM
Grand Forks,38035,0.185077508
Stutsman,38093,0.264174198
Sioux,38085,0.171427136
Morton,38059,0.193442618
Burleigh,38015,0.225129795
Oliver,38065,0.202953474
Ward,38101,0.212464989
McHenry,38049,0.208225498
Renville,38075,0.192742555
Williams,38105,0.164926636
Stark,38089,0.17692883
Cass,38017,0.185504909
Richland,38077,0.19532484
Pembina,38067,0.186627546
Walsh,38099,0.191949084
Cavalier,38019,0.177063148
Towner,38095,0.203007042
Ramsey,38071,0.253189961
Nelson,38063,0.237589165
Benson,38005,0.256781092
Eddy,38027,0.244714942
Griggs,38039,0.2314147
Steele,38091,0.195777989
Foster,38031,0.245996621
Barnes,38003,0.230410843
Traill,38097,0.17680119
Sargent,38081,0.238361533
Dickey,38021,0.251845552
LaMoure,38045,0.243829567
Ransom,38073,0.221253685
Logan,38047,0.260316646
Kidder,38043,0.276793573
McIntosh,38051,0.253780698
Grant,38037,0.174295627
Emmons,38029,0.195998519
McLean,38055,0.209167375
Mercer,38057,0.182637024
Mountrail,38061,0.204224626
Sheridan,38083,0.247966678
Wells,38103,0.238338439
Pierce,38069,0.224828033
Rolette,38079,0.210295735
Bottineau,38009,0.187213596
Burke,38013,0.200434779
Divide,38023,0.185268725
McKenzie,38053,0.154972129
Billings,38007,0.168640896
Golden Valley,38033,0.156344469
Slope,38087,0.170138979
Dunn,38025,0.175244378
Hettinger,38041,0.170700346
Adams,38001,0.161514241
Bowman,38011,0.160226036
