NAME,GEOID,LST_NIGHT
Grand Forks,38035,14297.59835
Stutsman,38093,14319.62864
Sioux,38085,14305.55307
Morton,38059,14272.56422
Burleigh,38015,14276.85646
Oliver,38065,14273.70704
Ward,38101,14287.76699
McHenry,38049,14301.5018
Renville,38075,14266.26583
Williams,38105,14273.73134
Stark,38089,14249.79786
Cass,38017,14309.18361
Richland,38077,14353.01273
Pembina,38067,14282.60061
Walsh,38099,14284.3458
Cavalier,38019,14229.49564
Towner,38095,14257.54054
Ramsey,38071,14301.39379
Nelson,38063,14290.57278
Benson,38005,14284.23567
Eddy,38027,14289.76006
Griggs,38039,14290.44218
Steele,38091,14290.07329
Foster,38031,14318.27317
Barnes,38003,14317.17723
Traill,38097,14301.55853
Sargent,38081,14347.72059
Dickey,38021,14331.728
LaMoure,38045,14316.55912
Ransom,38073,14333.55706
Logan,38047,14309.10684
Kidder,38043,14316.00368
McIntosh,38051,14301.1122
Grant,38037,14283.81157
Emmons,38029,14305.88417
McLean,38055,14271.98531
Mercer,38057,14288.73633
Mountrail,38061,14253.47936
Sheridan,38083,14309.47481
Wells,38103,14301.50115
Pierce,38069,14285.16733
Rolette,38079,14234.69888
Bottineau,38009,14242.11042
Burke,38013,14242.10953
Divide,38023,14246.77582
McKenzie,38053,14315.79034
Billings,38007,14252.35229
Golden Valley,38033,14248.98743
Slope,38087,14224.37113
Dunn,38025,14263.1477
Hettinger,38041,14236.53626
Adams,38001,14248.25551
Bowman,38011,14221.63269
