NAME,GEOID,PA
Grand Forks,38035,1.76964024
Stutsman,38093,2.860912965
Sioux,38085,3.551153293
Morton,38059,3.50379589
Burleigh,38015,3.237941866
Oliver,38065,3.076563832
Ward,38101,2.189753516
McHenry,38049,2.056652176
Renville,38075,1.590381447
Williams,38105,1.675522377
Stark,38089,2.954144685
Cass,38017,2.077145167
Richland,38077,2.443723609
Pembina,38067,1.707067157
Walsh,38099,1.799768201
Cavalier,38019,1.478747177
Towner,38095,1.335120737
Ramsey,38071,1.644571959
Nelson,38063,1.972586955
Benson,38005,1.74017842
Eddy,38027,2.204905314
Griggs,38039,2.277410852
Steele,38091,2.059851183
Foster,38031,2.782742563
Barnes,38003,2.372925455
Traill,38097,1.677721169
Sargent,38081,2.358660965
Dickey,38021,2.680670286
LaMoure,38045,2.670587867
Ransom,38073,2.379380399
Logan,38047,2.760166454
Kidder,38043,3.023075131
McIntosh,38051,2.790415513
Grant,38037,3.579315225
Emmons,38029,3.2030342
McLean,38055,2.464556839
Mercer,38057,2.741138472
Mountrail,38061,2.014541652
Sheridan,38083,2.355053234
Wells,38103,2.442079911
Pierce,38069,1.826203541
Rolette,38079,1.649508313
Bottineau,38009,1.744939008
Burke,38013,1.392133749
Divide,38023,1.288231156
McKenzie,38053,1.656821214
Billings,38007,2.228017734
Golden Valley,38033,2.256007231
Slope,38087,2.961008384
Dunn,38025,2.588569554
Hettinger,38041,2.940807838
Adams,38001,3.189263087
Bowman,38011,2.883737503
