NAME,GEOID,SMS_PM
Grand Forks,38035,0.178458792
Stutsman,38093,0.257079684
Sioux,38085,0.175922422
Morton,38059,0.189364033
Burleigh,38015,0.222277625
Oliver,38065,0.197118565
Ward,38101,0.210144671
McHenry,38049,0.20795305
Renville,38075,0.191970903
Williams,38105,0.163465848
Stark,38089,0.177421099
Cass,38017,0.177020381
Richland,38077,0.183896638
Pembina,38067,0.178008284
Walsh,38099,0.184098081
Cavalier,38019,0.174752217
Towner,38095,0.204716546
Ramsey,38071,0.249335649
Nelson,38063,0.234407014
Benson,38005,0.249232258
Eddy,38027,0.23873753
Griggs,38039,0.226617579
Steele,38091,0.19069238
Foster,38031,0.236420827
Barnes,38003,0.224381292
Traill,38097,0.169026941
Sargent,38081,0.233821971
Dickey,38021,0.24477719
LaMoure,38045,0.239782651
Ransom,38073,0.216191916
Logan,38047,0.257976815
Kidder,38043,0.27240332
McIntosh,38051,0.250520562
Grant,38037,0.177297982
Emmons,38029,0.196916536
McLean,38055,0.206741991
Mercer,38057,0.176575679
Mountrail,38061,0.201668121
Sheridan,38083,0.244982277
Wells,38103,0.23078874
Pierce,38069,0.224102165
Rolette,38079,0.21137563
Bottineau,38009,0.188888566
Burke,38013,0.203320257
Divide,38023,0.189747429
McKenzie,38053,0.147312784
Billings,38007,0.167080051
Golden Valley,38033,0.157758692
Slope,38087,0.173008479
Dunn,38025,0.174322863
Hettinger,38041,0.175947803
Adams,38001,0.166389345
Bowman,38011,0.165960127
