NAME,GEOID,SMS_PM
Grand Forks,38035,0.22434496
Stutsman,38093,0.275853467
Sioux,38085,0.194435214
Morton,38059,0.195036845
Burleigh,38015,0.234735624
Oliver,38065,0.205177934
Ward,38101,0.217671968
McHenry,38049,0.204078522
Renville,38075,0.190875117
Williams,38105,0.187055344
Stark,38089,0.180680936
Cass,38017,0.233543436
Richland,38077,0.245890116
Pembina,38067,0.182609718
Walsh,38099,0.205381685
Cavalier,38019,0.189645352
Towner,38095,0.219259936
Ramsey,38071,0.266422886
Nelson,38063,0.257726863
Benson,38005,0.262847253
Eddy,38027,0.243944138
Griggs,38039,0.253547701
Steele,38091,0.235326196
Foster,38031,0.241000682
Barnes,38003,0.265898323
Traill,38097,0.236810076
Sargent,38081,0.284791478
Dickey,38021,0.27833346
LaMoure,38045,0.276547366
Ransom,38073,0.261635491
Logan,38047,0.277162336
Kidder,38043,0.282440418
McIntosh,38051,0.265860714
Grant,38037,0.179549667
Emmons,38029,0.213763201
McLean,38055,0.217978751
Mercer,38057,0.188969683
Mountrail,38061,0.223566146
Sheridan,38083,0.250240207
Wells,38103,0.235116935
Pierce,38069,0.235836834
Rolette,38079,0.235331857
Bottineau,38009,0.193341333
Burke,38013,0.213227782
Divide,38023,0.205297418
McKenzie,38053,0.183218984
Billings,38007,0.182083837
Golden Valley,38033,0.172728869
Slope,38087,0.177100152
Dunn,38025,0.187592618
Hettinger,38041,0.173486143
Adams,38001,0.171219446
Bowman,38011,0.173917005
