NAME,GEOID,PA
Grand Forks,38035,3.062592691
Stutsman,38093,3.548558719
Sioux,38085,3.815298639
Morton,38059,3.721342095
Burleigh,38015,3.572624401
Oliver,38065,3.364368722
Ward,38101,3.288981881
McHenry,38049,3.053316299
Renville,38075,2.940411249
Williams,38105,3.079850344
Stark,38089,3.557218514
Cass,38017,3.550749483
Richland,38077,3.568032306
Pembina,38067,2.687087376
Walsh,38099,2.54738616
Cavalier,38019,2.776872708
Towner,38095,2.592129675
Ramsey,38071,2.554056825
Nelson,38063,2.975475159
Benson,38005,2.607467604
Eddy,38027,3.425386842
Griggs,38039,3.567735831
Steele,38091,3.594371273
Foster,38031,3.677683301
Barnes,38003,3.427829326
Traill,38097,3.639675207
Sargent,38081,3.462704095
Dickey,38021,3.408576423
LaMoure,38045,3.285607614
Ransom,38073,3.292246231
Logan,38047,3.391976268
Kidder,38043,4.129715024
McIntosh,38051,3.275331409
Grant,38037,3.387277982
Emmons,38029,3.819073953
McLean,38055,3.273222485
Mercer,38057,2.997182127
Mountrail,38061,4.08689771
Sheridan,38083,3.790243383
Wells,38103,3.625088525
Pierce,38069,2.725876953
Rolette,38079,3.022772578
Bottineau,38009,3.30302966
Burke,38013,2.746614832
Divide,38023,2.668707375
McKenzie,38053,3.459056588
Billings,38007,3.138373047
Golden Valley,38033,3.191919274
Slope,38087,2.834237263
Dunn,38025,3.374465414
Hettinger,38041,3.242793379
Adams,38001,3.085959822
Bowman,38011,2.774243051
