NAME,GEOID,SAR
Grand Forks,38035,-10.44491975
Stutsman,38093,-11.00734082
Sioux,38085,-11.13466703
Morton,38059,-11.54064628
Burleigh,38015,-11.64481752
Oliver,38065,-11.55006496
Ward,38101,-11.51927137
McHenry,38049,-12.06056592
Renville,38075,-11.18635644
Williams,38105,-11.88886907
Stark,38089,-12.23525243
Cass,38017,-10.04396002
Richland,38077,-9.971048453
Pembina,38067,-11.05179476
Walsh,38099,-11.08895187
Cavalier,38019,-11.22523231
Towner,38095,-11.3744131
Ramsey,38071,-11.58099451
Nelson,38063,-11.14438151
Benson,38005,-11.60781523
Eddy,38027,-11.38842281
Griggs,38039,-10.92871899
Steele,38091,-10.53377158
Foster,38031,-11.39316045
Barnes,38003,-10.69578114
Traill,38097,-10.07503942
Sargent,38081,-10.64079753
Dickey,38021,-10.73390424
LaMoure,38045,-10.7814141
Ransom,38073,-10.53235107
Logan,38047,-11.46750864
Kidder,38043,-11.56413673
McIntosh,38051,-11.45783164
Grant,38037,-11.81962218
Emmons,38029,-11.541152
McLean,38055,-11.55559971
Mercer,38057,-11.61037088
Mountrail,38061,-11.51218754
Sheridan,38083,-11.83233444
Wells,38103,-11.4293043
Pierce,38069,-12.11735057
Rolette,38079,-11.21057741
Bottineau,38009,-11.68682186
Burke,38013,-11.97056924
Divide,38023,-12.37353107
McKenzie,38053,-12.08437026
Billings,38007,-12.20067915
Golden Valley,38033,-13.11840249
Slope,38087,-11.13858919
Dunn,38025,-12.74136692
Hettinger,38041,-12.32251948
Adams,38001,-11.85905712
Bowman,38011,-11.85268366
