NAME,GEOID,NDVI
Grand Forks,38035,6281.861750337199
Stutsman,38093,6383.772828146645
Sioux,38085,6269.090442184253
Morton,38059,6186.643075745678
Burleigh,38015,6453.224997874908
Oliver,38065,6294.449690368807
Ward,38101,6053.097667094972
McHenry,38049,6127.675713883332
Renville,38075,6079.525671056544
Williams,38105,5705.537641731174
Stark,38089,5935.394679298341
Cass,38017,6346.129860787616
Richland,38077,6530.638687445784
Pembina,38067,5982.889489947302
Walsh,38099,6059.1397579083705
Cavalier,38019,5906.613159560858
Towner,38095,5901.802962104018
Ramsey,38071,5742.268227810982
Nelson,38063,6215.928198124163
Benson,38005,6076.183306600293
Eddy,38027,6354.1141113979575
Griggs,38039,6325.231757008426
Steele,38091,6281.452123619648
Foster,38031,6436.606741834837
Barnes,38003,6367.6398324764805
Traill,38097,6351.495330745055
Sargent,38081,6401.039243918161
Dickey,38021,6495.293742346167
LaMoure,38045,6480.831157188831
Ransom,38073,6428.241356346117
Logan,38047,6462.9097371669195
Kidder,38043,6628.638869082307
McIntosh,38051,6414.35879531838
Grant,38037,6102.508426962749
Emmons,38029,6485.961111666584
McLean,38055,6227.364247259375
Mercer,38057,6136.870704930971
Mountrail,38061,6183.871577673508
Sheridan,38083,6145.09637244411
Wells,38103,6155.7145738241625
Pierce,38069,6018.637214586052
Rolette,38079,6164.162076884803
Bottineau,38009,6086.340525848322
Burke,38013,5837.038590800264
Divide,38023,5562.961086430785
McKenzie,38053,5691.838726240214
Billings,38007,5584.969105299105
Golden Valley,38033,5728.998577602107
Slope,38087,5478.424631935617
Dunn,38025,6073.105422490483
Hettinger,38041,5745.583099733345
Adams,38001,5877.890874604695
Bowman,38011,5921.229649903831
