NAME,GEOID,SMS_AM
Grand Forks,38035,0.241499059
Stutsman,38093,0.286865878
Sioux,38085,0.191937302
Morton,38059,0.196471531
Burleigh,38015,0.239530424
Oliver,38065,0.208616364
Ward,38101,0.214752425
McHenry,38049,0.202248332
Renville,38075,0.184594928
Williams,38105,0.187068802
Stark,38089,0.176333732
Cass,38017,0.242717861
Richland,38077,0.249538203
Pembina,38067,0.203018117
Walsh,38099,0.223782272
Cavalier,38019,0.194745638
Towner,38095,0.217604008
Ramsey,38071,0.273122905
Nelson,38063,0.264764976
Benson,38005,0.269079726
Eddy,38027,0.250824028
Griggs,38039,0.261002986
Steele,38091,0.249175236
Foster,38031,0.248915104
Barnes,38003,0.275567135
Traill,38097,0.253478784
Sargent,38081,0.292472812
Dickey,38021,0.289544851
LaMoure,38045,0.288517502
Ransom,38073,0.271308713
Logan,38047,0.28438279
Kidder,38043,0.291368851
McIntosh,38051,0.274894429
Grant,38037,0.17660093
Emmons,38029,0.216142697
McLean,38055,0.216584303
Mercer,38057,0.191089378
Mountrail,38061,0.217422823
Sheridan,38083,0.252595324
Wells,38103,0.241936498
Pierce,38069,0.236246826
Rolette,38079,0.22848995
Bottineau,38009,0.188338485
Burke,38013,0.205548213
Divide,38023,0.203405424
McKenzie,38053,0.188216999
Billings,38007,0.182308592
Golden Valley,38033,0.173475833
Slope,38087,0.168650286
Dunn,38025,0.186838347
Hettinger,38041,0.165300225
Adams,38001,0.161855113
Bowman,38011,0.166135635
