NAME,GEOID,SMS_PM
Grand Forks,38035,0.159908256
Stutsman,38093,0.228315845
Sioux,38085,0.153415974
Morton,38059,0.155845798
Burleigh,38015,0.193481607
Oliver,38065,0.16323976
Ward,38101,0.179183163
McHenry,38049,0.17505134
Renville,38075,0.159433147
Williams,38105,0.127095437
Stark,38089,0.151517749
Cass,38017,0.143085623
Richland,38077,0.169288523
Pembina,38067,0.148645451
Walsh,38099,0.162274245
Cavalier,38019,0.167646688
Towner,38095,0.200415763
Ramsey,38071,0.241530244
Nelson,38063,0.215287175
Benson,38005,0.243518539
Eddy,38027,0.208459139
Griggs,38039,0.193987046
Steele,38091,0.1594733
Foster,38031,0.19292687
Barnes,38003,0.194497027
Traill,38097,0.137786141
Sargent,38081,0.207234332
Dickey,38021,0.204702243
LaMoure,38045,0.207429212
Ransom,38073,0.185139689
Logan,38047,0.244395718
Kidder,38043,0.254305956
McIntosh,38051,0.226700116
Grant,38037,0.149393598
Emmons,38029,0.173130566
McLean,38055,0.169514013
Mercer,38057,0.144410685
Mountrail,38061,0.178155985
Sheridan,38083,0.220066039
Wells,38103,0.195996694
Pierce,38069,0.211087186
Rolette,38079,0.205431448
Bottineau,38009,0.159382551
Burke,38013,0.179868874
Divide,38023,0.159374982
McKenzie,38053,0.120430339
Billings,38007,0.142098874
Golden Valley,38033,0.125098326
Slope,38087,0.135453294
Dunn,38025,0.148062335
Hettinger,38041,0.151627772
Adams,38001,0.142561636
Bowman,38011,0.13131898
