NAME,GEOID,ET
Grand Forks,38035,158.9865141
Stutsman,38093,147.9355884
Sioux,38085,118.1949913
Morton,38059,105.0801961
Burleigh,38015,117.0581519
Oliver,38065,107.4619417
Ward,38101,117.905773
McHenry,38049,109.78933
Renville,38075,148.5263204
Williams,38105,95.89256438
Stark,38089,117.1838527
Cass,38017,183.2457338
Richland,38077,203.7171382
Pembina,38067,148.2491954
Walsh,38099,141.8061236
Cavalier,38019,145.6454862
Towner,38095,146.2078123
Ramsey,38071,133.3970264
Nelson,38063,139.8929831
Benson,38005,128.1584154
Eddy,38027,129.8281401
Griggs,38039,144.0202928
Steele,38091,158.851935
Foster,38031,143.9770427
Barnes,38003,168.8442053
Traill,38097,175.6749669
Sargent,38081,183.2260875
Dickey,38021,173.6667084
LaMoure,38045,169.0512434
Ransom,38073,185.2779016
Logan,38047,126.2629676
Kidder,38043,128.4131208
McIntosh,38051,120.5990428
Grant,38037,103.3652424
Emmons,38029,124.1427202
McLean,38055,105.8169928
Mercer,38057,99.45218573
Mountrail,38061,113.6980036
Sheridan,38083,111.0819199
Wells,38103,125.5009673
Pierce,38069,109.8082128
Rolette,38079,133.9522647
Bottineau,38009,142.9092995
Burke,38013,142.8123842
Divide,38023,108.4659827
McKenzie,38053,84.32542241
Billings,38007,90.55322776
Golden Valley,38033,69.7565428
Slope,38087,95.02921428
Dunn,38025,102.2363102
Hettinger,38041,122.3600844
Adams,38001,105.5102109
Bowman,38011,89.65210571
