NAME,GEOID,LST_DAY
Grand Forks,38035,15220.41432
Stutsman,38093,15203.4796
Sioux,38085,15371.75624
Morton,38059,15401.17356
Burleigh,38015,15359.04749
Oliver,38065,15400.0822
Ward,38101,15299.45285
McHenry,38049,15368.31063
Renville,38075,15233.83459
Williams,38105,15340.59822
Stark,38089,15328.78065
Cass,38017,15262.11302
Richland,38077,15184.33367
Pembina,38067,15268.14282
Walsh,38099,15247.86228
Cavalier,38019,15206.25297
Towner,38095,15227.60521
Ramsey,38071,15165.93972
Nelson,38063,15158.23761
Benson,38005,15242.24092
Eddy,38027,15270.12084
Griggs,38039,15213.64576
Steele,38091,15221.97846
Foster,38031,15257.443
Barnes,38003,15180.44678
Traill,38097,15259.84837
Sargent,38081,15179.61026
Dickey,38021,15217.0957
LaMoure,38045,15201.19397
Ransom,38073,15200.51577
Logan,38047,15236.65335
Kidder,38043,15221.48869
McIntosh,38051,15300.16396
Grant,38037,15395.162
Emmons,38029,15336.93989
McLean,38055,15355.36801
Mercer,38057,15397.50671
Mountrail,38061,15282.15889
Sheridan,38083,15313.81499
Wells,38103,15285.24178
Pierce,38069,15300.00018
Rolette,38079,15236.45772
Bottineau,38009,15261.26363
Burke,38013,15183.70423
Divide,38023,15262.47489
McKenzie,38053,15411.48976
Billings,38007,15415.46718
Golden Valley,38033,15501.48318
Slope,38087,15428.07117
Dunn,38025,15405.90929
Hettinger,38041,15321.4285
Adams,38001,15371.32069
Bowman,38011,15449.70173
