NAME,GEOID,NDVI
Grand Forks,38035,5935.528200138692
Stutsman,38093,5772.888402286429
Sioux,38085,5222.576757279775
Morton,38059,4893.776249711187
Burleigh,38015,5200.088541108566
Oliver,38065,4994.694692524024
Ward,38101,5145.467444086288
McHenry,38049,5153.176112324511
Renville,38075,5646.141170073462
Williams,38105,4156.627170096918
Stark,38089,4913.2560223044375
Cass,38017,6183.357671021283
Richland,38077,6378.020400052891
Pembina,38067,5594.658247487506
Walsh,38099,5545.622743702597
Cavalier,38019,5707.177674664592
Towner,38095,5783.769617932937
Ramsey,38071,5654.392039678511
Nelson,38063,5663.656305082385
Benson,38005,5631.219098551335
Eddy,38027,5702.979855034317
Griggs,38039,5713.598331806851
Steele,38091,5888.153260188749
Foster,38031,5678.923251204447
Barnes,38003,6019.259689603472
Traill,38097,6112.898194998355
Sargent,38081,6085.420608535215
Dickey,38021,6010.257493337928
LaMoure,38045,6088.320811693594
Ransom,38073,6248.90971868642
Logan,38047,5479.237165724568
Kidder,38043,5721.520153193526
McIntosh,38051,5265.536608278625
Grant,38037,4694.922404925543
Emmons,38029,5330.819423392367
McLean,38055,4835.9377648567
Mercer,38057,4666.776657908088
Mountrail,38061,4964.990095133161
Sheridan,38083,5192.823044761356
Wells,38103,5465.556180184114
Pierce,38069,5273.111128938634
Rolette,38079,5576.963955947384
Bottineau,38009,5529.9789242649285
Burke,38013,5462.167717848411
Divide,38023,4534.833454731806
McKenzie,38053,4069.17009568862
Billings,38007,4080.82132019934
Golden Valley,38033,3611.1081189830966
Slope,38087,4513.36706717445
Dunn,38025,4688.847875995547
Hettinger,38041,5017.9644457701515
Adams,38001,4660.3966358394255
Bowman,38011,4425.844999134071
