NAME,GEOID,SAR
Grand Forks,38035,-12.3422415
Stutsman,38093,-12.57690089
Sioux,38085,-12.44743068
Morton,38059,-13.3136491
Burleigh,38015,-13.41071762
Oliver,38065,-13.38067237
Ward,38101,-12.78679709
McHenry,38049,-13.58593763
Renville,38075,-12.01020319
Williams,38105,-13.67501727
Stark,38089,-13.45161742
Cass,38017,-12.43586269
Richland,38077,-11.74727308
Pembina,38067,-12.36838324
Walsh,38099,-12.59538099
Cavalier,38019,-12.75302873
Towner,38095,-12.42160131
Ramsey,38071,-12.65190266
Nelson,38063,-12.867221
Benson,38005,-12.64022267
Eddy,38027,-13.0464693
Griggs,38039,-12.91764437
Steele,38091,-12.72992703
Foster,38031,-12.74816404
Barnes,38003,-12.50433899
Traill,38097,-12.53728089
Sargent,38081,-12.30501077
Dickey,38021,-12.33955742
LaMoure,38045,-12.58473858
Ransom,38073,-12.32921769
Logan,38047,-12.77153719
Kidder,38043,-12.893184
McIntosh,38051,-12.89669714
Grant,38037,-13.55804157
Emmons,38029,-12.59123401
McLean,38055,-13.45476361
Mercer,38057,-13.8664406
Mountrail,38061,-12.92459864
Sheridan,38083,-13.18574018
Wells,38103,-12.75453471
Pierce,38069,-13.16898613
Rolette,38079,-12.60359295
Bottineau,38009,-12.70650179
Burke,38013,-12.73009744
Divide,38023,-13.50680679
McKenzie,38053,-14.09139022
Billings,38007,-13.2618592
Golden Valley,38033,-15.37337776
Slope,38087,-12.94133146
Dunn,38025,-14.0121482
Hettinger,38041,-13.31664251
Adams,38001,-13.43454402
Bowman,38011,-13.38147789
