NAME,GEOID,PAR
Grand Forks,38035,26.42423823
Stutsman,38093,22.88860959
Sioux,38085,18.16353104
Morton,38059,17.32875794
Burleigh,38015,19.57483902
Oliver,38065,17.78353157
Ward,38101,18.50944037
McHenry,38049,19.70279456
Renville,38075,18.73203802
Williams,38105,16.04254665
Stark,38089,15.91030703
Cass,38017,26.75426818
Richland,38077,27.06734514
Pembina,38067,26.26578444
Walsh,38099,26.54056915
Cavalier,38019,24.1432719
Towner,38095,22.96463473
Ramsey,38071,24.31863839
Nelson,38063,24.94118584
Benson,38005,22.16067141
Eddy,38027,22.75954682
Griggs,38039,24.41834614
Steele,38091,25.77715131
Foster,38031,22.72860582
Barnes,38003,24.78370073
Traill,38097,27.21088713
Sargent,38081,25.26105325
Dickey,38021,23.33906375
LaMoure,38045,23.7013622
Ransom,38073,25.07913441
Logan,38047,21.21866979
Kidder,38043,20.99487864
McIntosh,38051,20.80160427
Grant,38037,16.52581418
Emmons,38029,19.48240478
McLean,38055,18.45362827
Mercer,38057,17.86202177
Mountrail,38061,17.56733911
Sheridan,38083,20.13479049
Wells,38103,21.26829321
Pierce,38069,21.16442432
Rolette,38079,21.71193929
Bottineau,38009,20.13224313
Burke,38013,17.70122396
Divide,38023,16.60538001
McKenzie,38053,15.77329671
Billings,38007,14.76038963
Golden Valley,38033,13.95071966
Slope,38087,14.57311333
Dunn,38025,16.42357023
Hettinger,38041,15.45670609
Adams,38001,15.15800571
Bowman,38011,14.39620669
