NAME,GEOID,SMS_AM
Grand Forks,38035,0.170321938
Stutsman,38093,0.232146441
Sioux,38085,0.148852922
Morton,38059,0.156606376
Burleigh,38015,0.192968884
Oliver,38065,0.165015171
Ward,38101,0.171496281
McHenry,38049,0.167372275
Renville,38075,0.151834173
Williams,38105,0.118870193
Stark,38089,0.152130718
Cass,38017,0.15419985
Richland,38077,0.182088768
Pembina,38067,0.160667708
Walsh,38099,0.172762924
Cavalier,38019,0.171326113
Towner,38095,0.197577674
Ramsey,38071,0.246297858
Nelson,38063,0.217867051
Benson,38005,0.244875475
Eddy,38027,0.20621059
Griggs,38039,0.198859931
Steele,38091,0.169848208
Foster,38031,0.193468269
Barnes,38003,0.201513824
Traill,38097,0.150333056
Sargent,38081,0.21169799
Dickey,38021,0.210209115
LaMoure,38045,0.215160038
Ransom,38073,0.189542732
Logan,38047,0.242972979
Kidder,38043,0.253076058
McIntosh,38051,0.226081887
Grant,38037,0.147853755
Emmons,38029,0.171847861
McLean,38055,0.165940433
Mercer,38057,0.145056629
Mountrail,38061,0.172988886
Sheridan,38083,0.218150328
Wells,38103,0.197399554
Pierce,38069,0.209395146
Rolette,38079,0.199881728
Bottineau,38009,0.153397155
Burke,38013,0.173982762
Divide,38023,0.148478043
McKenzie,38053,0.119521283
Billings,38007,0.143251867
Golden Valley,38033,0.118403815
Slope,38087,0.132610979
Dunn,38025,0.146475972
Hettinger,38041,0.151048473
Adams,38001,0.13955502
Bowman,38011,0.126573245
