NAME,GEOID,LST_NIGHT
Grand Forks,38035,14326.19415
Stutsman,38093,14345.78794
Sioux,38085,14280.87663
Morton,38059,14244.48402
Burleigh,38015,14268.93326
Oliver,38065,14255.22733
Ward,38101,14258.11866
McHenry,38049,14269.97395
Renville,38075,14249.92368
Williams,38105,14224.69854
Stark,38089,14213.32344
Cass,38017,14333.44053
Richland,38077,14375.54567
Pembina,38067,14298.91144
Walsh,38099,14293.07559
Cavalier,38019,14232.90066
Towner,38095,14268.26737
Ramsey,38071,14313.36379
Nelson,38063,14316.48184
Benson,38005,14293.04167
Eddy,38027,14314.61645
Griggs,38039,14297.43783
Steele,38091,14312.07633
Foster,38031,14327.53902
Barnes,38003,14342.61737
Traill,38097,14326.37359
Sargent,38081,14380.3692
Dickey,38021,14342.12435
LaMoure,38045,14345.06811
Ransom,38073,14348.63886
Logan,38047,14307.30094
Kidder,38043,14313.19912
McIntosh,38051,14303.42551
Grant,38037,14254.92119
Emmons,38029,14293.35477
McLean,38055,14240.84985
Mercer,38057,14264.40747
Mountrail,38061,14226.22428
Sheridan,38083,14285.26426
Wells,38103,14298.17873
Pierce,38069,14281.72993
Rolette,38079,14243.30816
Bottineau,38009,14233.65412
Burke,38013,14228.96169
Divide,38023,14217.62084
McKenzie,38053,14257.69563
Billings,38007,14238.21395
Golden Valley,38033,14220.53627
Slope,38087,14192.78663
Dunn,38025,14222.46742
Hettinger,38041,14217.33066
Adams,38001,14243.23348
Bowman,38011,14206.98136
