NAME,GEOID,SMS_AM
Grand Forks,38035,0.267043178
Stutsman,38093,0.299089824
Sioux,38085,0.159690934
Morton,38059,0.181400729
Burleigh,38015,0.22046145
Oliver,38065,0.189173406
Ward,38101,0.239333306
McHenry,38049,0.236656158
Renville,38075,0.26007652
Williams,38105,0.194213318
Stark,38089,0.180454305
Cass,38017,0.249794702
Richland,38077,0.252977655
Pembina,38067,0.290090827
Walsh,38099,0.278845158
Cavalier,38019,0.293472641
Towner,38095,0.306073978
Ramsey,38071,0.346116693
Nelson,38063,0.308784857
Benson,38005,0.304364911
Eddy,38027,0.29280262
Griggs,38039,0.285716428
Steele,38091,0.264737611
Foster,38031,0.290914027
Barnes,38003,0.292800654
Traill,38097,0.247397179
Sargent,38081,0.285149578
Dickey,38021,0.292385704
LaMoure,38045,0.292916322
Ransom,38073,0.274537094
Logan,38047,0.276098141
Kidder,38043,0.281119749
McIntosh,38051,0.268746134
Grant,38037,0.1715225
Emmons,38029,0.193262028
McLean,38055,0.208634468
Mercer,38057,0.170636078
Mountrail,38061,0.221032664
Sheridan,38083,0.263229718
Wells,38103,0.272596274
Pierce,38069,0.268488497
Rolette,38079,0.281484951
Bottineau,38009,0.252009817
Burke,38013,0.270936284
Divide,38023,0.23513833
McKenzie,38053,0.172308122
Billings,38007,0.187668119
Golden Valley,38033,0.176265817
Slope,38087,0.173036243
Dunn,38025,0.174644709
Hettinger,38041,0.176651276
Adams,38001,0.164309211
Bowman,38011,0.156119463
