NAME,GEOID,ET
Grand Forks,38035,185.7002745
Stutsman,38093,190.3044195
Sioux,38085,145.7245476
Morton,38059,163.7605826
Burleigh,38015,177.1673836
Oliver,38065,177.8977113
Ward,38101,181.3593988
McHenry,38049,185.934813
Renville,38075,180.1671267
Williams,38105,133.9894105
Stark,38089,142.3654654
Cass,38017,200.2361769
Richland,38077,202.4557725
Pembina,38067,197.3836185
Walsh,38099,196.7555614
Cavalier,38019,199.6927663
Towner,38095,193.1666946
Ramsey,38071,180.7317565
Nelson,38063,181.8614898
Benson,38005,184.8247461
Eddy,38027,186.9206439
Griggs,38039,188.6935694
Steele,38091,191.6815563
Foster,38031,191.9969117
Barnes,38003,189.5075228
Traill,38097,196.1270849
Sargent,38081,201.4995147
Dickey,38021,200.9248474
LaMoure,38045,195.7803325
Ransom,38073,205.8119872
Logan,38047,177.8819267
Kidder,38043,176.4558929
McIntosh,38051,188.6566014
Grant,38037,144.0480989
Emmons,38029,175.6511675
McLean,38055,171.8016451
Mercer,38057,164.0214045
Mountrail,38061,158.0554655
Sheridan,38083,178.7231164
Wells,38103,187.0452964
Pierce,38069,179.2886253
Rolette,38079,194.6286348
Bottineau,38009,190.3068713
Burke,38013,167.7664712
Divide,38023,142.7428828
McKenzie,38053,120.9909188
Billings,38007,138.0963257
Golden Valley,38033,138.0672733
Slope,38087,150.2660002
Dunn,38025,137.450553
Hettinger,38041,138.6511001
Adams,38001,132.4849887
Bowman,38011,138.075298
