NAME,GEOID,SMS_PM
Grand Forks,38035,0.250137469
Stutsman,38093,0.282107959
Sioux,38085,0.156315399
Morton,38059,0.170510861
Burleigh,38015,0.209461602
Oliver,38065,0.178775128
Ward,38101,0.232434512
McHenry,38049,0.225978206
Renville,38075,0.252666329
Williams,38105,0.197511918
Stark,38089,0.181583065
Cass,38017,0.23587567
Richland,38077,0.231428413
Pembina,38067,0.270558723
Walsh,38099,0.262823376
Cavalier,38019,0.27550445
Towner,38095,0.288646495
Ramsey,38071,0.327350976
Nelson,38063,0.296365676
Benson,38005,0.289081986
Eddy,38027,0.275755028
Griggs,38039,0.272131968
Steele,38091,0.248583291
Foster,38031,0.272469463
Barnes,38003,0.278930779
Traill,38097,0.234040279
Sargent,38081,0.268969157
Dickey,38021,0.270022389
LaMoure,38045,0.274493849
Ransom,38073,0.259377935
Logan,38047,0.261432582
Kidder,38043,0.269418284
McIntosh,38051,0.250278442
Grant,38037,0.166739119
Emmons,38029,0.182550932
McLean,38055,0.20241726
Mercer,38057,0.164477614
Mountrail,38061,0.220993138
Sheridan,38083,0.253888759
Wells,38103,0.256794191
Pierce,38069,0.255166824
Rolette,38079,0.269341843
Bottineau,38009,0.242601302
Burke,38013,0.2636532
Divide,38023,0.237221344
McKenzie,38053,0.172070314
Billings,38007,0.183048014
Golden Valley,38033,0.173082833
Slope,38087,0.173497027
Dunn,38025,0.17846159
Hettinger,38041,0.177844268
Adams,38001,0.167763248
Bowman,38011,0.160170349
