NAME,GEOID,LST_DAY
Grand Forks,38035,15028.14322
Stutsman,38093,15001.51764
Sioux,38085,15266.82958
Morton,38059,15183.51076
Burleigh,38015,15136.70463
Oliver,38065,15153.75658
Ward,38101,15064.66874
McHenry,38049,15069.33299
Renville,38075,15044.54985
Williams,38105,15170.91205
Stark,38089,15196.92315
Cass,38017,15067.84528
Richland,38077,15097.77402
Pembina,38067,14979.23316
Walsh,38099,15003.28595
Cavalier,38019,14945.03083
Towner,38095,14973.06933
Ramsey,38071,14932.29675
Nelson,38063,14950.09861
Benson,38005,14994.9452
Eddy,38027,14995.03928
Griggs,38039,15012.43242
Steele,38091,15034.93687
Foster,38031,14983.059
Barnes,38003,15013.30321
Traill,38097,15074.50459
Sargent,38081,15061.07637
Dickey,38021,15051.95598
LaMoure,38045,15034.45425
Ransom,38073,15063.14478
Logan,38047,15067.76841
Kidder,38043,15071.26312
McIntosh,38051,15072.33383
Grant,38037,15236.78766
Emmons,38029,15178.24425
McLean,38055,15104.86828
Mercer,38057,15188.54598
Mountrail,38061,15138.50815
Sheridan,38083,15035.81276
Wells,38103,15014.62031
Pierce,38069,15027.15115
Rolette,38079,14973.75371
Bottineau,38009,15039.29918
Burke,38013,15030.16909
Divide,38023,15093.83624
McKenzie,38053,15258.81677
Billings,38007,15212.38513
Golden Valley,38033,15185.51179
Slope,38087,15210.48216
Dunn,38025,15238.70671
Hettinger,38041,15208.65863
Adams,38001,15248.82019
Bowman,38011,15275.30753
