NAME,GEOID,PA
Grand Forks,38035,2.389199119
Stutsman,38093,2.124513659
Sioux,38085,1.748849518
Morton,38059,2.193338302
Burleigh,38015,1.73556044
Oliver,38065,1.967487482
Ward,38101,1.885402049
McHenry,38049,1.743055232
Renville,38075,2.012405432
Williams,38105,2.185823673
Stark,38089,2.121847542
Cass,38017,2.344261953
Richland,38077,1.873125866
Pembina,38067,2.87605399
Walsh,38099,2.455420257
Cavalier,38019,2.332112527
Towner,38095,1.975004276
Ramsey,38071,2.050987133
Nelson,38063,2.518057348
Benson,38005,1.920963795
Eddy,38027,2.343147394
Griggs,38039,2.113023474
Steele,38091,2.228996122
Foster,38031,2.36665102
Barnes,38003,2.165738063
Traill,38097,2.067989247
Sargent,38081,1.981335044
Dickey,38021,2.213488218
LaMoure,38045,2.128432287
Ransom,38073,1.993764953
Logan,38047,2.047275545
Kidder,38043,1.878415429
McIntosh,38051,1.887585838
Grant,38037,2.080914767
Emmons,38029,1.760284382
McLean,38055,1.784942441
Mercer,38057,1.666770505
Mountrail,38061,2.066470833
Sheridan,38083,1.837361549
Wells,38103,2.186484526
Pierce,38069,1.875961707
Rolette,38079,2.157016015
Bottineau,38009,2.04617915
Burke,38013,2.392066355
Divide,38023,2.149825677
McKenzie,38053,1.95280488
Billings,38007,2.164231221
Golden Valley,38033,2.302995877
Slope,38087,1.866940865
Dunn,38025,1.899074057
Hettinger,38041,2.054526557
Adams,38001,1.922804114
Bowman,38011,1.599014703
