NAME,GEOID,PAR
Grand Forks,38035,24.79749069
Stutsman,38093,22.61536253
Sioux,38085,18.01635637
Morton,38059,17.60107886
Burleigh,38015,19.33465431
Oliver,38065,17.84433889
Ward,38101,17.89495923
McHenry,38049,19.37717711
Renville,38075,18.24803639
Williams,38105,14.6204613
Stark,38089,15.67428331
Cass,38017,25.96638546
Richland,38077,25.78262458
Pembina,38067,26.86084605
Walsh,38099,25.21263728
Cavalier,38019,24.1823692
Towner,38095,22.26849263
Ramsey,38071,23.37126559
Nelson,38063,24.07855412
Benson,38005,21.88702211
Eddy,38027,22.66799898
Griggs,38039,24.50429062
Steele,38091,25.41634294
Foster,38031,22.74945385
Barnes,38003,24.25581033
Traill,38097,26.20016635
Sargent,38081,24.77323915
Dickey,38021,22.14085684
LaMoure,38045,22.60096118
Ransom,38073,24.36937862
Logan,38047,20.93513048
Kidder,38043,20.73712852
McIntosh,38051,20.62338572
Grant,38037,16.50821254
Emmons,38029,19.6935412
McLean,38055,17.77468377
Mercer,38057,17.30348339
Mountrail,38061,16.65303651
Sheridan,38083,19.64187222
Wells,38103,20.9058791
Pierce,38069,21.1581796
Rolette,38079,21.7998308
Bottineau,38009,19.73630189
Burke,38013,16.77092419
Divide,38023,14.88492607
McKenzie,38053,15.23810326
Billings,38007,14.61570393
Golden Valley,38033,13.0667897
Slope,38087,14.37369585
Dunn,38025,15.90977665
Hettinger,38041,15.56922591
Adams,38001,15.3586799
Bowman,38011,13.8815431
