NAME,GEOID,SAR
Grand Forks,38035,-10.96526708
Stutsman,38093,-11.04416872
Sioux,38085,-12.6647375
Morton,38059,-12.59556819
Burleigh,38015,-12.79346572
Oliver,38065,-12.45798798
Ward,38101,-12.10698451
McHenry,38049,-12.14406953
Renville,38075,-11.51472253
Williams,38105,-12.34137467
Stark,38089,-12.48744729
Cass,38017,-9.77406576
Richland,38077,-9.581133674
Pembina,38067,-10.75931467
Walsh,38099,-10.68248122
Cavalier,38019,-10.83923155
Towner,38095,-11.26631469
Ramsey,38071,-11.09759913
Nelson,38063,-10.8722238
Benson,38005,-11.76392969
Eddy,38027,-11.40478851
Griggs,38039,-10.78002046
Steele,38091,-10.49504165
Foster,38031,-10.88022637
Barnes,38003,-10.29012376
Traill,38097,-9.865614413
Sargent,38081,-10.23682406
Dickey,38021,-10.41019157
LaMoure,38045,-10.71069688
Ransom,38073,-10.40962222
Logan,38047,-12.01393886
Kidder,38043,-12.22794379
McIntosh,38051,-11.71003764
Grant,38037,-12.75238826
Emmons,38029,-12.64742193
McLean,38055,-12.36517465
Mercer,38057,-12.75401728
Mountrail,38061,-12.06775947
Sheridan,38083,-12.27918131
Wells,38103,-11.66972162
Pierce,38069,-11.85858709
Rolette,38079,-11.53246891
Bottineau,38009,-11.70696712
Burke,38013,-11.58103534
Divide,38023,-12.16687562
McKenzie,38053,-12.70532785
Billings,38007,-13.49109895
Golden Valley,38033,-14.5463608
Slope,38087,-11.91882036
Dunn,38025,-12.97113022
Hettinger,38041,-12.6213347
Adams,38001,-12.53307109
Bowman,38011,-12.71223334
