NAME,GEOID,LST_NIGHT
Grand Forks,38035,14270.27712
Stutsman,38093,14263.68449
Sioux,38085,14233.11614
Morton,38059,14184.22919
Burleigh,38015,14196.84376
Oliver,38065,14183.58157
Ward,38101,14185.60962
McHenry,38049,14201.7883
Renville,38075,14161.81281
Williams,38105,14122.33548
Stark,38089,14178.61542
Cass,38017,14283.44785
Richland,38077,14338.47747
Pembina,38067,14205.13805
Walsh,38099,14231.66274
Cavalier,38019,14159.77553
Towner,38095,14189.55871
Ramsey,38071,14253.08253
Nelson,38063,14255.0459
Benson,38005,14228.13384
Eddy,38027,14222.25126
Griggs,38039,14252.83345
Steele,38091,14259.12276
Foster,38031,14253.49471
Barnes,38003,14281.15928
Traill,38097,14272.75291
Sargent,38081,14352.18433
Dickey,38021,14309.10553
LaMoure,38045,14284.75256
Ransom,38073,14303.47317
Logan,38047,14259.65948
Kidder,38043,14237.53001
McIntosh,38051,14258.56394
Grant,38037,14196.47019
Emmons,38029,14255.39919
McLean,38055,14176.34703
Mercer,38057,14194.62605
Mountrail,38061,14135.93204
Sheridan,38083,14234.14213
Wells,38103,14221.46591
Pierce,38069,14209.89383
Rolette,38079,14176.08997
Bottineau,38009,14154.03969
Burke,38013,14108.87566
Divide,38023,14133.62579
McKenzie,38053,14190.30246
Billings,38007,14161.35634
Golden Valley,38033,14159.64722
Slope,38087,14124.73784
Dunn,38025,14160.42414
Hettinger,38041,14157.55851
Adams,38001,14184.08519
Bowman,38011,14162.50735
