NAME,GEOID,LST_DAY
Grand Forks,38035,15042.47091
Stutsman,38093,15063.40631
Sioux,38085,15223.13814
Morton,38059,15219.99781
Burleigh,38015,15154.03746
Oliver,38065,15196.737
Ward,38101,15022.8973
McHenry,38049,15070.66819
Renville,38075,15002.81911
Williams,38105,15172.53817
Stark,38089,15258.85942
Cass,38017,15075.64825
Richland,38077,15044.10325
Pembina,38067,15035.92676
Walsh,38099,15023.17268
Cavalier,38019,14979.57942
Towner,38095,14989.31202
Ramsey,38071,14959.98563
Nelson,38063,14954.67392
Benson,38005,14984.64117
Eddy,38027,15043.2037
Griggs,38039,15023.35631
Steele,38091,15042.91297
Foster,38031,15064.0418
Barnes,38003,15017.15634
Traill,38097,15059.85533
Sargent,38081,15031.0689
Dickey,38021,15038.92068
LaMoure,38045,15063.74027
Ransom,38073,15051.33356
Logan,38047,15077.34577
Kidder,38043,15076.59727
McIntosh,38051,15093.82955
Grant,38037,15258.15745
Emmons,38029,15177.17714
McLean,38055,15105.76974
Mercer,38057,15164.0394
Mountrail,38061,15079.88789
Sheridan,38083,15047.72982
Wells,38103,15079.35005
Pierce,38069,15025.69781
Rolette,38079,15003.5988
Bottineau,38009,15013.96447
Burke,38013,15070.32482
Divide,38023,15133.84727
McKenzie,38053,15268.08945
Billings,38007,15296.79142
Golden Valley,38033,15240.55619
Slope,38087,15237.41898
Dunn,38025,15222.8075
Hettinger,38041,15247.85583
Adams,38001,15262.43014
Bowman,38011,15248.4064
