NAME,GEOID,SAR
Grand Forks,38035,-10.75820121
Stutsman,38093,-11.26342713
Sioux,38085,-12.49173153
Morton,38059,-13.20826711
Burleigh,38015,-12.82316983
Oliver,38065,-13.01848046
Ward,38101,-11.96860244
McHenry,38049,-12.44922858
Renville,38075,-11.3917485
Williams,38105,-13.12532248
Stark,38089,-13.37132146
Cass,38017,-10.57391315
Richland,38077,-10.39967206
Pembina,38067,-10.98093666
Walsh,38099,-10.88932531
Cavalier,38019,-10.99269823
Towner,38095,-11.07901657
Ramsey,38071,-11.37429936
Nelson,38063,-10.92186974
Benson,38005,-11.248176
Eddy,38027,-11.3740469
Griggs,38039,-10.95786919
Steele,38091,-10.75550309
Foster,38031,-11.22264566
Barnes,38003,-10.8175857
Traill,38097,-10.37165168
Sargent,38081,-10.45039768
Dickey,38021,-11.23036687
LaMoure,38045,-11.2807955
Ransom,38073,-10.67702798
Logan,38047,-12.07766711
Kidder,38043,-12.05449663
McIntosh,38051,-11.80225033
Grant,38037,-13.60854978
Emmons,38029,-12.52145766
McLean,38055,-12.71892599
Mercer,38057,-12.91140314
Mountrail,38061,-12.60028468
Sheridan,38083,-12.19084399
Wells,38103,-11.41858509
Pierce,38069,-11.95639019
Rolette,38079,-11.07459158
Bottineau,38009,-11.59609952
Burke,38013,-12.86985871
Divide,38023,-13.27496836
McKenzie,38053,-13.47328525
Billings,38007,-13.33168758
Golden Valley,38033,-13.49019074
Slope,38087,-12.10569187
Dunn,38025,-13.57640187
Hettinger,38041,-13.56524209
Adams,38001,-13.70883407
Bowman,38011,-13.02674867
