NAME,GEOID,NDVI
Grand Forks,38035,6134.181926881274
Stutsman,38093,6017.839788891268
Sioux,38085,5494.867557236447
Morton,38059,5437.303429213693
Burleigh,38015,5836.591166808069
Oliver,38065,5606.973341576312
Ward,38101,6031.660413372569
McHenry,38049,6056.005839487178
Renville,38075,6073.704340178528
Williams,38105,5068.607539188114
Stark,38089,5015.676874421878
Cass,38017,6200.299432017005
Richland,38077,6498.156684267714
Pembina,38067,6363.802869615092
Walsh,38099,6297.09572029609
Cavalier,38019,6146.6929587989325
Towner,38095,5987.91126901695
Ramsey,38071,5904.109499521787
Nelson,38063,6094.142370059394
Benson,38005,6157.753397716334
Eddy,38027,6077.279355332438
Griggs,38039,6064.386415441305
Steele,38091,6169.683465411521
Foster,38031,5881.407268520574
Barnes,38003,6204.638036084552
Traill,38097,6150.186137315399
Sargent,38081,6405.246891506317
Dickey,38021,6129.261109222839
LaMoure,38045,6266.315374649877
Ransom,38073,6473.057032046182
Logan,38047,5879.749271854768
Kidder,38043,6013.950526885268
McIntosh,38051,5840.2234016986895
Grant,38037,5059.027127148502
Emmons,38029,5733.941746153877
McLean,38055,5839.911311519522
Mercer,38057,5759.439174322796
Mountrail,38061,5746.609808672611
Sheridan,38083,5988.332403050571
Wells,38103,5948.662786006672
Pierce,38069,5973.407767813397
Rolette,38079,5985.267103977004
Bottineau,38009,6136.261463291924
Burke,38013,5680.433530556066
Divide,38023,5049.060116527516
McKenzie,38053,4868.070063366491
Billings,38007,5028.905064791404
Golden Valley,38033,4961.91044494721
Slope,38087,4891.574468441247
Dunn,38025,5375.0471402211315
Hettinger,38041,4994.432947526169
Adams,38001,4818.830737796002
Bowman,38011,5039.080050755281
