NAME,GEOID,PAR
Grand Forks,38035,27.06002301
Stutsman,38093,22.44214298
Sioux,38085,18.48811339
Morton,38059,18.33210528
Burleigh,38015,19.95957231
Oliver,38065,18.96283144
Ward,38101,18.67403577
McHenry,38049,19.80886455
Renville,38075,18.75727534
Williams,38105,16.08396803
Stark,38089,16.64882055
Cass,38017,26.94493641
Richland,38077,26.32022537
Pembina,38067,27.66527961
Walsh,38099,27.09215041
Cavalier,38019,25.25464328
Towner,38095,23.36378802
Ramsey,38071,24.49957695
Nelson,38063,24.99899028
Benson,38005,22.35329191
Eddy,38027,23.07288883
Griggs,38039,24.16422993
Steele,38091,25.35542191
Foster,38031,23.03249554
Barnes,38003,24.32261973
Traill,38097,27.2313675
Sargent,38081,24.79418722
Dickey,38021,23.0706506
LaMoure,38045,23.04815406
Ransom,38073,24.69788171
Logan,38047,21.11333775
Kidder,38043,21.14028912
McIntosh,38051,21.01015731
Grant,38037,17.12773167
Emmons,38029,19.76933657
McLean,38055,19.06689393
Mercer,38057,18.86928086
Mountrail,38061,17.89291275
Sheridan,38083,20.11852823
Wells,38103,21.31914185
Pierce,38069,21.06789051
Rolette,38079,21.71279562
Bottineau,38009,19.94731972
Burke,38013,18.19547358
Divide,38023,16.68910083
McKenzie,38053,16.13024471
Billings,38007,15.31154736
Golden Valley,38033,14.2729876
Slope,38087,14.81503911
Dunn,38025,17.1324989
Hettinger,38041,16.13576281
Adams,38001,15.31060545
Bowman,38011,14.09800963
