NAME,GEOID,ET
Grand Forks,38035,187.4361995
Stutsman,38093,181.0436524
Sioux,38085,159.00825
Morton,38059,155.9861719
Burleigh,38015,172.7672344
Oliver,38065,163.1723423
Ward,38101,172.6769736
McHenry,38049,174.3467049
Renville,38075,169.3957476
Williams,38105,133.5452604
Stark,38089,135.1980402
Cass,38017,191.5120516
Richland,38077,216.1648835
Pembina,38067,198.0062627
Walsh,38099,197.1166736
Cavalier,38019,192.9022476
Towner,38095,179.3995967
Ramsey,38071,176.9134088
Nelson,38063,187.8927851
Benson,38005,181.535399
Eddy,38027,182.817591
Griggs,38039,189.7340783
Steele,38091,191.9640779
Foster,38031,177.1770905
Barnes,38003,193.1458116
Traill,38097,185.1177829
Sargent,38081,207.9865622
Dickey,38021,201.7813527
LaMoure,38045,199.1352466
Ransom,38073,211.7912155
Logan,38047,180.6753418
Kidder,38043,173.6843278
McIntosh,38051,184.1572982
Grant,38037,140.8400118
Emmons,38029,176.5266176
McLean,38055,172.1001643
Mercer,38057,168.8552065
Mountrail,38061,159.4738891
Sheridan,38083,173.3807192
Wells,38103,173.1465798
Pierce,38069,168.1784272
Rolette,38079,169.5604326
Bottineau,38009,170.9251901
Burke,38013,159.49827
Divide,38023,135.3372213
McKenzie,38053,123.337099
Billings,38007,125.3768215
Golden Valley,38033,128.7850844
Slope,38087,137.2691674
Dunn,38025,144.5825905
Hettinger,38041,141.7497433
Adams,38001,129.4216905
Bowman,38011,139.7416424
